player,goals,assists,rating,minutes,match_id,date,performed,Player,Team,DOB,Zodiac,Element,Ruling Planet,surname,birth_date
rodrigo muniz,0,0,7.0,78,1208021,2024-08-16,1,,,,,,,muniz,
tom cairney,0,0,6.6,26,1208021,2024-08-16,0,,,,,,,cairney,
harry wilson,0,0,6.7,12,1208021,2024-08-16,0,,,,,,,wilson,
raúl jiménez,0,0,6.3,12,1208021,2024-08-16,0,,,,,,,jiménez,
harrison reed,0,0,0.0,1,1208021,2024-08-16,0,,,,,,,reed,
jay stansfield,0,0,0.0,1,1208021,2024-08-16,0,,,,,,,stansfield,
steven benda,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,benda,
jorge cuenca,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,cuenca,
timothy castagne,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,castagne,
joshua king,0,0,0.0,0,1208021,2024-08-16,0,,,,,,,king,
christian walton,0,0,6.9,90,1208022,2024-08-17,0,,,,,,,walton,
axel tuanzebe,0,0,6.3,74,1208022,2024-08-17,0,,,,,,,tuanzebe,
luke woolfenden,0,0,7.0,90,1208022,2024-08-17,1,,,,,,,woolfenden,
jacob greaves,0,0,7.3,90,1208022,2024-08-17,1,,,,,,,greaves,
leif davis,0,0,6.7,90,1208022,2024-08-17,0,,,,,,,davis,
sam morsy,0,0,6.9,90,1208022,2024-08-17,0,,,,,,,morsy,
massimo luongo,0,0,6.9,65,1208022,2024-08-17,0,,,,,,,luongo,
wes burns,0,0,6.5,57,1208022,2024-08-17,0,,,,,,,burns,
conor chaplin,0,0,6.9,65,1208022,2024-08-17,0,,,,,,,chaplin,
omari hutchinson,0,0,6.9,90,1208022,2024-08-17,0,,,,,,,hutchinson,
liam delap,0,0,6.7,74,1208022,2024-08-17,0,,,,Aquarius,,,delap,08-02-2003
ben johnson,0,0,6.5,33,1208022,2024-08-17,0,,,,,,,johnson,
jack taylor,0,0,6.3,25,1208022,2024-08-17,0,,,,,,,taylor,
marcus harness,0,0,6.2,25,1208022,2024-08-17,0,,,,,,,harness,
sammie szmodics,0,0,6.7,16,1208022,2024-08-17,0,,,,,,,szmodics,
ali al-hamadi,0,0,6.7,16,1208022,2024-08-17,0,,,,,,,al-hamadi,
cieran slicker,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,slicker,
conor townsend,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,townsend,
cameron burgess,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,burgess,
kalvin phillips,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,phillips,
alisson,0,0,7.2,90,1208022,2024-08-17,1,,,,,,,alisson,
trent alexander-arnold,0,0,7.6,77,1208022,2024-08-17,1,,,,Libra,,,alexander-arnold,07-10-1998
jarell quansah,0,0,7.2,45,1208022,2024-08-17,1,,,,,,,quansah,
virgil van dijk,0,0,7.0,90,1208022,2024-08-17,1,virgil van dijk,Liverpool,08-07-1991,Cancer,Water,Moon,dijk,08-07-1991
andrew robertson,0,0,6.9,79,1208022,2024-08-17,0,,,,,,,robertson,
ryan gravenberch,0,0,7.3,90,1208022,2024-08-17,1,ryan gravenberch,Liverpool,16-05-2002,Taurus,Earth,Venus,gravenberch,16-05-2002
alexis mac allister,0,0,6.7,90,1208022,2024-08-17,0,alexis mac allister,Liverpool,24-12-1998,Capricorn,Earth,Saturn,allister,24-12-1998
mohamed salah,1,1,8.2,90,1208022,2024-08-17,1,mohamed salah,Liverpool,15-06-1992,Gemini,Air,Mercury,salah,15-06-1992
dominik szoboszlai,0,0,7.9,90,1208022,2024-08-17,1,dominik szoboszlai,Liverpool,25-10-2000,Scorpio,Water,Mars,szoboszlai,25-10-2000
luis díaz,0,0,7.7,90,1208022,2024-08-17,1,,,,Capricorn,,,díaz,13-01-1997
diogo jota,1,0,7.3,79,1208022,2024-08-17,1,,,,Sagittarius,,,jota,04-12-1996
ibrahima konaté,0,0,7.0,45,1208022,2024-08-17,1,ibrahima konaté,Liverpool,25-05-1999,Gemini,Air,Mercury,konaté,25-05-1999
conor bradley,0,0,6.9,13,1208022,2024-08-17,0,,,,,,,bradley,
konstantinos tsimikas,0,0,6.7,11,1208022,2024-08-17,0,,,,,,,tsimikas,
cody gakpo,0,0,6.7,11,1208022,2024-08-17,0,cody gakpo,Liverpool,07-05-1999,Taurus,Earth,Venus,gakpo,07-05-1999
caoimhin kelleher,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,kelleher,
harvey elliott,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,elliott,
curtis jones,0,0,0.0,0,1208022,2024-08-17,0,,,,,,,jones,
wataru endo,0,0,0.0,0,1208022,2024-08-17,0,,,,Aquarius,,,endo,09-02-1993
darwin núñez,0,0,0.0,0,1208022,2024-08-17,0,,,,Cancer,,,núñez,24-06-1999
nick pope,0,0,7.2,90,1208025,2024-08-17,1,,,,Aries,,,pope,19-04-1992
valentino livramento,0,0,7.2,90,1208025,2024-08-17,1,,,,Scorpio,,,livramento,12-11-2002
fabian schär,0,0,4.9,28,1208025,2024-08-17,0,,,,Sagittarius,,,schär,20-12-1991
dan burn,0,0,6.9,90,1208025,2024-08-17,0,,,,Taurus,,,burn,09-05-1992
lewis hall,0,0,7.3,70,1208025,2024-08-17,1,,,,Virgo,,,hall,08-09-2004
sean longstaff,0,0,6.9,90,1208025,2024-08-17,0,,,,,,,longstaff,
bruno guimarães,0,0,7.5,90,1208025,2024-08-17,1,,,,Scorpio,,,guimarães,16-11-1997
joelinton,1,0,7.9,90,1208025,2024-08-17,1,,,,Leo,,,joelinton,14-08-1996
jacob murphy,0,0,6.9,30,1208025,2024-08-17,0,,,,Pisces,,,murphy,24-02-1995
alexander isak,0,1,7.3,90,1208025,2024-08-17,1,,,,Virgo,,,isak,21-09-1999
anthony gordon,0,0,6.9,70,1208025,2024-08-17,0,,,,Pisces,,,gordon,24-02-2001
emil krafth,0,0,7.0,60,1208025,2024-08-17,1,,,,,,,krafth,
lloyd kelly,0,0,6.6,20,1208025,2024-08-17,0,,,,,,,kelly,
harvey barnes,0,0,6.2,20,1208025,2024-08-17,0,,,,Sagittarius,,,barnes,09-12-1997
martin dúbravka,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,dúbravka,
matt targett,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,targett,
kieran trippier,0,0,0.0,0,1208025,2024-08-17,0,,,,Virgo,,,trippier,19-09-1990
joe willock,0,0,0.0,0,1208025,2024-08-17,0,,,,Leo,,,willock,20-08-1999
william osula,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,osula,
miguel almirón,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,almirón,
alex mccarthy,0,0,6.3,90,1208025,2024-08-17,0,,,,,,,mccarthy,
taylor harwood-bellis,0,0,7.0,90,1208025,2024-08-17,1,,,,,,,harwood-bellis,
jan bednarek,0,0,7.3,81,1208025,2024-08-17,1,,,,,,,bednarek,
jack stephens,0,0,6.9,90,1208025,2024-08-17,0,,,,,,,stephens,
yukinari sugawara,0,0,7.0,45,1208025,2024-08-17,1,,,,,,,sugawara,
will smallbone,0,0,7.3,90,1208025,2024-08-17,1,,,,,,,smallbone,
flynn downes,0,0,7.3,90,1208025,2024-08-17,1,,,,,,,downes,
joe aribo,0,0,7.3,70,1208025,2024-08-17,1,,,,,,,aribo,
kyle walker-peters,0,0,7.0,81,1208025,2024-08-17,1,,,,,,,walker-peters,
adam armstrong,0,0,6.6,90,1208025,2024-08-17,0,,,,,,,armstrong,
ben brereton díaz,0,0,6.2,71,1208025,2024-08-17,0,,,,Capricorn,,,díaz,13-01-1997
samuel edozie,0,0,6.9,45,1208025,2024-08-17,0,,,,,,,edozie,
tyler dibling,0,0,6.9,20,1208025,2024-08-17,0,,,,,,,dibling,
cameron archer,0,0,6.9,19,1208025,2024-08-17,0,,,,,,,archer,
samuel amo-ameyaw,0,0,6.6,9,1208025,2024-08-17,0,,,,,,,amo-ameyaw,
carlos alcaraz,0,0,6.9,9,1208025,2024-08-17,0,,,,,,,alcaraz,
joe lumley,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,lumley,
charlie taylor,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,taylor,
james bree,0,0,0.0,0,1208025,2024-08-17,0,,,,,,,bree,
nathan wood,0,0,0.0,0,1208025,2024-08-17,0,,,,Sagittarius,,,wood,07-12-1991
david raya,0,0,7.7,90,1208023,2024-08-17,1,david raya,Arsenal,15-09-1995,Virgo,Earth,Mercury,raya,15-09-1995
benjamin white,0,0,6.9,90,1208023,2024-08-17,0,,,,,,,white,
william saliba,0,0,7.0,90,1208023,2024-08-17,1,william saliba,Arsenal,24-03-2001,Aries,Fire,Mars,saliba,24-03-2001
gabriel magalhães,0,0,7.3,90,1208023,2024-08-17,1,gabriel magalhães,Arsenal,19-12-1997,Sagittarius,Fire,Jupiter,magalhães,19-12-1997
oleksandr zinchenko,0,0,7.0,69,1208023,2024-08-17,1,,,,,,,zinchenko,
martin ødegaard,0,0,7.3,90,1208023,2024-08-17,1,,,,,,,ødegaard,
thomas partey,0,0,7.2,90,1208023,2024-08-17,1,,,,Gemini,,,partey,13-06-1993
declan rice,0,0,7.2,85,1208023,2024-08-17,1,declan rice,Arsenal,14-01-1999,Capricorn,Earth,Saturn,rice,14-01-1999
bukayo saka,1,1,8.9,80,1208023,2024-08-17,1,,,,,,,saka,
kai havertz,1,1,8.2,90,1208023,2024-08-17,1,kai havertz,Arsenal,11-06-1999,Gemini,Air,Mercury,havertz,11-06-1999
gabriel martinelli,0,0,7.3,90,1208023,2024-08-17,1,,,,Gemini,,,martinelli,18-06-2001
jurriën timber,0,0,6.5,21,1208023,2024-08-17,0,jurriën timber,Arsenal,17-06-2001,Gemini,Air,Mercury,timber,17-06-2001
leandro trossard,0,0,6.7,10,1208023,2024-08-17,0,leandro trossard,Arsenal,04-12-1994,Sagittarius,Fire,Jupiter,trossard,04-12-1994
gabriel jesus,0,0,6.3,11,1208023,2024-08-17,0,gabriel jesus,Arsenal,03-04-1997,Aries,Fire,Mars,jesus,03-04-1997
aaron ramsdale,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,ramsdale,
riccardo calafiori,0,0,0.0,0,1208023,2024-08-17,0,,,,Taurus,,,calafiori,19-05-2002
jorginho,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,jorginho,
ethan nwaneri,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,nwaneri,
reiss nelson,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,nelson,
edward nketiah,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,nketiah,
josé sá,0,0,7.2,90,1208023,2024-08-17,1,,,,,,,sá,
matt doherty,0,0,7.0,90,1208023,2024-08-17,1,,,,,,,doherty,
yerson mosquera,0,0,6.9,90,1208023,2024-08-17,0,,,,,,,mosquera,
toti gomes,0,0,6.3,90,1208023,2024-08-17,0,,,,,,,gomes,
rayan aït nouri,0,0,6.3,84,1208023,2024-08-17,0,,,,,,,nouri,
joão gomes,0,0,6.7,84,1208023,2024-08-17,0,,,,,,,gomes,
mario lemina,0,0,7.2,90,1208023,2024-08-17,1,,,,,,,lemina,
hee-chan hwang,0,0,6.6,90,1208023,2024-08-17,0,,,,,,,hwang,
jean-ricner bellegarde,0,0,6.5,57,1208023,2024-08-17,0,,,,,,,bellegarde,
rodrigo gomes,0,0,6.7,75,1208023,2024-08-17,0,,,,,,,gomes,
jørgen strand larsen,0,0,6.2,84,1208023,2024-08-17,0,,,,,,,larsen,
matheus cunha,0,0,7.2,33,1208023,2024-08-17,1,matheus cunha,Man United,27-05-1999,Gemini,Air,Mercury,cunha,27-05-1999
daniel podence,0,0,6.3,15,1208023,2024-08-17,0,,,,,,,podence,
craig dawson,0,0,6.3,12,1208023,2024-08-17,0,,,,,,,dawson,
chiquinho,0,0,6.7,12,1208023,2024-08-17,0,,,,,,,chiquinho,
pablo sarabia,0,0,6.9,12,1208023,2024-08-17,0,,,,,,,sarabia,
daniel bentley,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,bentley,
santiago bueno,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,bueno,
tommy doyle,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,doyle,
gonçalo guedes,0,0,0.0,0,1208023,2024-08-17,0,,,,,,,guedes,
jordan pickford,0,0,7.0,90,1208024,2024-08-17,1,,,,,,,pickford,
ashley young,0,0,6.0,66,1208024,2024-08-17,0,,,,,,,young,
james tarkowski,0,0,6.9,90,1208024,2024-08-17,0,,,,,,,tarkowski,
michael keane,0,0,6.9,90,1208024,2024-08-17,0,,,,,,,keane,
vitaliy mykolenko,0,0,6.0,90,1208024,2024-08-17,0,,,,,,,mykolenko,
tim iroegbunam,0,0,6.9,90,1208024,2024-08-17,0,,,,,,,iroegbunam,
idrissa gueye,0,0,6.5,90,1208024,2024-08-17,0,,,,,,,gueye,
jack harrison,0,0,6.6,85,1208024,2024-08-17,0,,,,,,,harrison,
abdoulaye doucouré,0,0,6.3,63,1208024,2024-08-17,0,,,,,,,doucouré,
dwight mcneil,0,0,6.3,90,1208024,2024-08-17,0,,,,,,,mcneil,
dominic calvert-lewin,0,0,6.6,76,1208024,2024-08-17,0,,,,,,,calvert-lewin,
iliman ndiaye,0,0,6.3,27,1208024,2024-08-17,0,,,,,,,ndiaye,
beto,0,0,6.2,14,1208024,2024-08-17,0,,,,,,,beto,
mason holgate,0,0,6.3,16,1208024,2024-08-17,0,,,,,,,holgate,
joão virgínia,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,virgínia,
jake o'brien,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,o'brien,
jenson metcalfe,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,metcalfe,
harrison armstrong,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,armstrong,
jesper lindstrøm,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,lindstrøm,
neal maupay,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,maupay,
jason steele,0,0,7.3,90,1208024,2024-08-17,1,,,,,,,steele,
joël veltman,0,0,7.7,90,1208024,2024-08-17,1,,,,,,,veltman,
jan paul van hecke,0,0,6.9,90,1208024,2024-08-17,0,,,,Gemini,,,hecke,08-06-2000
lewis dunk,0,0,6.9,76,1208024,2024-08-17,0,,,,,,,dunk,
jack hinshelwood,0,0,7.0,90,1208024,2024-08-17,1,,,,Aries,,,hinshelwood,11-04-2005
james milner,0,0,7.2,82,1208024,2024-08-17,1,,,,,,,milner,
mats wieffer,0,1,7.2,90,1208024,2024-08-17,1,,,,,,,wieffer,
yankuba minteh,0,1,7.2,45,1208024,2024-08-17,1,,,,Cancer,,,minteh,22-07-2004
joão pedro,0,0,7.2,82,1208024,2024-08-17,1,,,,Libra,,,pedro,26-09-2001
kaoru mitoma,1,0,7.2,89,1208024,2024-08-17,1,,,,Taurus,,,mitoma,20-05-1997
danny welbeck,1,1,8.3,90,1208024,2024-08-17,1,,,,Sagittarius,,,welbeck,26-11-1990
simon adingra,1,0,7.3,45,1208024,2024-08-17,1,,,,Capricorn,,,adingra,01-01-2002
adam webster,0,0,6.9,14,1208024,2024-08-17,0,,,,,,,webster,
billy gilmour,0,0,6.7,8,1208024,2024-08-17,0,,,,,,,gilmour,
jeremy sarmiento,0,0,6.3,8,1208024,2024-08-17,0,,,,,,,sarmiento,
yasin ayari,0,0,6.3,12,1208024,2024-08-17,0,,,,Libra,,,ayari,06-10-2003
carl rushworth,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,rushworth,
valentín barco,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,barco,
carlos baleba,0,0,0.0,0,1208024,2024-08-17,0,,,,Capricorn,,,baleba,03-01-2004
mark o'mahony,0,0,0.0,0,1208024,2024-08-17,0,,,,,,,o'mahony,
matz sels,0,0,7.2,90,1208026,2024-08-17,1,,,,Pisces,,,sels,26-02-1992
neco williams,0,0,7.2,90,1208026,2024-08-17,1,,,,Aries,,,williams,13-04-2001
willy boly,0,0,7.3,90,1208026,2024-08-17,1,,,,,,,boly,
murillo,0,0,6.9,90,1208026,2024-08-17,0,,,,Cancer,,,murillo,04-07-2002
ola aina,0,0,6.9,54,1208026,2024-08-17,0,,,,Libra,,,aina,08-10-1996
ibrahim sangaré,0,0,7.2,90,1208026,2024-08-17,1,,,,,,,sangaré,
danilo,0,0,6.2,15,1208026,2024-08-17,0,,,,,,,danilo,
anthony elanga,0,0,7.2,54,1208026,2024-08-17,1,,,,Taurus,,,elanga,27-04-2002
morgan gibbs-white,0,0,7.2,90,1208026,2024-08-17,1,,,,Aquarius,,,gibbs-white,27-01-2000
callum hudson-odoi,0,0,7.2,72,1208026,2024-08-17,1,,,,Scorpio,,,hudson-odoi,07-11-2000
chris wood,1,0,7.3,72,1208026,2024-08-17,1,,,,Sagittarius,,,wood,07-12-1991
ryan yates,0,0,7.3,75,1208026,2024-08-17,1,,,,Scorpio,,,yates,21-11-1997
harry toffolo,0,0,6.6,36,1208026,2024-08-17,0,,,,,,,toffolo,
nicolás domínguez,0,0,6.6,36,1208026,2024-08-17,0,,,,Cancer,,,domínguez,28-06-1998
elliot anderson,0,0,6.7,18,1208026,2024-08-17,0,,,,Scorpio,,,anderson,06-11-2002
taiwo awoniyi,0,0,6.9,18,1208026,2024-08-17,0,,,,,,,awoniyi,
carlos miguel,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,miguel,
andrew omobamidele,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,omobamidele,
jota silva,0,0,0.0,0,1208026,2024-08-17,0,,,,Leo,,,silva,10-08-1994
eric da silva moreira,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,moreira,
neto,0,0,8.2,90,1208026,2024-08-17,1,neto,Chelsea,09-03-2000,Pisces,Water,Jupiter,neto,09-03-2000
adam smith,0,0,6.7,63,1208026,2024-08-17,0,,,,,,,smith,
illia zabarnyi,0,0,7.0,90,1208026,2024-08-17,1,,,,Virgo,,,zabarnyi,01-09-2002
dean huijsen,0,0,7.0,90,1208026,2024-08-17,1,,,,Aries,,,huijsen,14-04-2005
miloš kerkez,0,0,6.6,90,1208026,2024-08-17,0,,,,Scorpio,,,kerkez,07-11-2003
alex scott,0,0,7.5,63,1208026,2024-08-17,1,,,,,,,scott,
lewis cook,0,0,7.0,84,1208026,2024-08-17,1,,,,Aquarius,,,cook,03-02-1997
dango ouattara,0,0,6.5,69,1208026,2024-08-17,0,,,,Aquarius,,,ouattara,11-02-2002
marcus tavernier,0,0,7.5,90,1208026,2024-08-17,1,,,,Aries,,,tavernier,22-03-1999
luis sinisterra,0,0,6.3,64,1208026,2024-08-17,0,,,,,,,sinisterra,
antoine semenyo,1,0,7.5,90,1208026,2024-08-17,1,,,,Capricorn,,,semenyo,07-01-2000
julian araujo,0,0,6.7,27,1208026,2024-08-17,0,,,,,,,araujo,
ryan christie,0,0,6.7,27,1208026,2024-08-17,0,,,,Pisces,,,christie,22-02-1995
justin kluivert,0,0,6.6,26,1208026,2024-08-17,0,,,,Taurus,,,kluivert,05-05-1999
daniel jebbison,0,0,6.7,21,1208026,2024-08-17,0,,,,,,,jebbison,
philip billing,0,0,6.5,12,1208026,2024-08-17,0,,,,,,,billing,
mark travers,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,travers,
james hill,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,hill,
hamed junior traorè,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,traorè,
jaidon anthony,0,0,0.0,0,1208026,2024-08-17,0,,,,,,,anthony,
alphonse aréola,0,0,6.9,90,1208027,2024-08-17,0,,,,,,,aréola,
vladimír coufal,0,0,6.7,85,1208027,2024-08-17,0,,,,,,,coufal,
konstantinos mavropanos,0,0,6.9,90,1208027,2024-08-17,0,,,,,,,mavropanos,
max kilman,0,0,7.0,90,1208027,2024-08-17,1,,,,,,,kilman,
emerson palmieri,0,0,6.3,90,1208027,2024-08-17,0,,,,,,,palmieri,
guido rodríguez,0,0,6.9,85,1208027,2024-08-17,0,,,,,,,rodríguez,
jarrod bowen,0,0,6.2,73,1208027,2024-08-17,0,,,,,,,bowen,
tomáš souček,0,0,7.2,90,1208027,2024-08-17,1,,,,,,,souček,
lucas paquetá,1,0,6.9,74,1208027,2024-08-17,1,,,,,,,paquetá,
mohammed kudus,0,0,7.0,90,1208027,2024-08-17,1,,,,,,,kudus,
michail antonio,0,0,6.7,73,1208027,2024-08-17,0,,,,,,,antonio,
crysencio summerville,0,0,6.9,17,1208027,2024-08-17,0,,,,,,,summerville,
niclas füllkrug,0,0,6.3,17,1208027,2024-08-17,0,,,,,,,füllkrug,
james ward-prowse,0,0,6.3,16,1208027,2024-08-17,0,,,,,,,ward-prowse,
jean-clair todibo,0,0,6.3,13,1208027,2024-08-17,0,,,,,,,todibo,
danny ings,0,0,6.3,13,1208027,2024-08-17,0,,,,,,,ings,
łukasz fabiański,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,fabiański,
aaron wan-bissaka,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,wan-bissaka,
aaron cresswell,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,cresswell,
andy irving,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,irving,
emiliano martínez,0,0,7.2,90,1208027,2024-08-17,1,,,,Virgo,,,martínez,02-09-1992
matty cash,0,0,6.9,82,1208027,2024-08-17,0,,,,Leo,,,cash,07-08-1997
ezri konsa,0,0,7.2,90,1208027,2024-08-17,1,,,,Scorpio,,,konsa,23-10-1997
pau torres,0,0,7.2,90,1208027,2024-08-17,1,,,,Capricorn,,,torres,16-01-1997
lucas digne,0,0,7.3,74,1208027,2024-08-17,1,,,,Cancer,,,digne,20-07-1993
amadou onana,1,0,7.6,90,1208027,2024-08-17,1,,,,Leo,,,onana,20-08-2001
youri tielemans,0,1,7.5,90,1208027,2024-08-17,1,,,,Taurus,,,tielemans,07-05-1997
leon bailey,0,0,6.9,74,1208027,2024-08-17,0,,,,Leo,,,bailey,09-08-1997
morgan rogers,0,0,7.2,90,1208027,2024-08-17,1,,,,Leo,,,rogers,26-07-2002
john mcginn,0,0,6.9,62,1208027,2024-08-17,0,,,,Libra,,,mcginn,18-10-1994
ollie watkins,0,0,6.3,62,1208027,2024-08-17,0,,,,Capricorn,,,watkins,30-12-1995
jacob ramsey,0,1,7.3,28,1208027,2024-08-17,1,,,,Gemini,,,ramsey,28-05-2001
jhon durán,1,0,7.3,28,1208027,2024-08-17,1,,,,,,,durán,
ian maatsen,0,0,7.2,16,1208027,2024-08-17,1,,,,Pisces,,,maatsen,10-03-2002
jaden philogene-bidace,0,0,6.9,16,1208027,2024-08-17,0,,,,,,,philogene-bidace,
kosta nedeljković,0,0,6.9,8,1208027,2024-08-17,0,,,,,,,nedeljković,
joe gauci,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,gauci,
diego carlos,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,carlos,
emiliano buendía,0,0,0.0,0,1208027,2024-08-17,0,,,,,,,buendía,
ross barkley,0,0,0.0,0,1208027,2024-08-17,0,,,,Sagittarius,,,barkley,05-12-1993
mark flekken,0,0,8.5,90,1208028,2024-08-18,1,,,,Gemini,,,flekken,13-06-1993
mads roerslev,0,0,6.3,90,1208028,2024-08-18,0,,,,,,,roerslev,
nathan collins,0,0,7.2,90,1208028,2024-08-18,1,,,,Taurus,,,collins,30-04-2001
ethan pinnock,0,0,6.7,90,1208028,2024-08-18,0,,,,Gemini,,,pinnock,29-05-1993
kristoffer ajer,0,0,6.3,90,1208028,2024-08-18,0,,,,,,,ajer,
christian nørgaard,0,0,7.3,90,1208028,2024-08-18,1,,,,Pisces,,,nørgaard,10-03-1994
vitaly janelt,0,0,7.2,74,1208028,2024-08-18,1,,,,Taurus,,,janelt,10-05-1998
mathias jensen,0,0,6.9,84,1208028,2024-08-18,0,,,,,,,jensen,
bryan mbeumo,1,0,8.0,89,1208028,2024-08-18,1,bryan mbeumo,Man United,07-08-1999,Leo,Fire,Sun,mbeumo,07-08-1999
yoane wissa,1,1,8.2,84,1208028,2024-08-18,1,,,,Virgo,,,wissa,03-09-1996
kevin schade,0,0,6.5,74,1208028,2024-08-18,0,,,,Sagittarius,,,schade,27-11-2001
mikkel damsgaard,0,0,6.6,16,1208028,2024-08-18,0,,,,Cancer,,,damsgaard,03-07-2000
keane lewis-potter,0,0,6.7,16,1208028,2024-08-18,0,,,,Pisces,,,lewis-potter,22-02-2001
frank onyeka,0,0,6.5,11,1208028,2024-08-18,0,,,,,,,onyeka,
