player,goals,assists,rating,minutes,match_id,date,performed,surname,birth_date,Zodiac
brennan johnson,0,0,6.3,80,1035038,2023-08-12,0,johnson,,
morgan gibbs-white,0,0,6.9,90,1035038,2023-08-12,0,gibbs-white,27-01-2000,Aquarius
taiwo awoniyi,1,0,7.3,19,1035038,2023-08-12,1,awoniyi,,
neco williams,0,0,6.6,18,1035038,2023-08-12,0,williams,13-04-2001,Aries
anthony elanga,0,1,7.5,10,1035038,2023-08-12,1,elanga,27-04-2002,Taurus
cheikhou kouyaté,0,0,6.6,9,1035038,2023-08-12,0,kouyaté,,
chris wood,0,0,6.3,9,1035038,2023-08-12,0,wood,07-12-1991,Sagittarius
ethan horvath,0,0,0.0,0,1035038,2023-08-12,0,horvath,,
moussa niakhaté,0,0,0.0,0,1035038,2023-08-12,0,niakhaté,,
lewis o'brien,0,0,0.0,0,1035038,2023-08-12,0,o'brien,,
remo freuler,0,0,0.0,0,1035038,2023-08-12,0,freuler,,
neto,0,0,6.5,90,1035039,2023-08-12,0,neto,09-03-2000,Pisces
max aarons,0,0,6.9,75,1035039,2023-08-12,0,aarons,,
illia zabarnyi,0,0,6.3,90,1035039,2023-08-12,0,zabarnyi,01-09-2002,Virgo
marcos senesi,0,0,6.6,60,1035039,2023-08-12,0,senesi,,
miloš kerkez,0,0,6.9,90,1035039,2023-08-12,0,kerkez,07-11-2003,Scorpio
philip billing,0,0,7.7,90,1035039,2023-08-12,1,billing,,
joe rothwell,0,0,7.2,90,1035039,2023-08-12,1,rothwell,,
david brooks,0,0,6.6,75,1035039,2023-08-12,0,brooks,08-07-1997,Cancer
ryan christie,0,0,7.2,67,1035039,2023-08-12,1,christie,22-02-1995,Pisces
jaidon anthony,0,0,6.5,60,1035039,2023-08-12,0,anthony,,
dominic solanke,1,0,7.5,90,1035039,2023-08-12,1,solanke,14-09-1997,Virgo
chris mepham,0,0,6.7,30,1035039,2023-08-12,0,mepham,,
justin kluivert,0,0,6.3,30,1035039,2023-08-12,0,kluivert,05-05-1999,Taurus
kieffer moore,0,0,6.7,23,1035039,2023-08-12,0,moore,,
james hill,0,0,6.7,15,1035039,2023-08-12,0,hill,,
antoine semenyo,0,0,6.9,15,1035039,2023-08-12,0,semenyo,07-01-2000,Capricorn
ionuț radu,0,0,0.0,0,1035039,2023-08-12,0,radu,,
ben greenwood,0,0,0.0,0,1035039,2023-08-12,0,greenwood,,
gavin kilkenny,0,0,0.0,0,1035039,2023-08-12,0,kilkenny,,
hamed junior traorè,0,0,0.0,0,1035039,2023-08-12,0,traorè,,
alphonse aréola,0,0,7.2,90,1035039,2023-08-12,1,aréola,,
vladimír coufal,0,0,6.6,90,1035039,2023-08-12,0,coufal,,
kurt zouma,0,0,6.9,90,1035039,2023-08-12,0,zouma,,
nayef aguerd,0,0,6.9,90,1035039,2023-08-12,0,aguerd,,
emerson palmieri,0,0,7.2,90,1035039,2023-08-12,1,palmieri,,
tomáš souček,0,1,7.5,90,1035039,2023-08-12,1,souček,,
lucas paquetá,0,0,8.0,89,1035039,2023-08-12,1,paquetá,,
jarrod bowen,1,0,8.0,90,1035039,2023-08-12,1,bowen,,
pablo fornals,0,0,7.0,86,1035039,2023-08-12,1,fornals,,
saïd benrahma,0,0,7.2,90,1035039,2023-08-12,1,benrahma,,
michail antonio,0,0,6.6,78,1035039,2023-08-12,0,antonio,,
danny ings,0,0,6.7,12,1035039,2023-08-12,0,ings,,
thilo kehrer,0,0,6.7,11,1035039,2023-08-12,0,kehrer,,
maxwel cornet,0,0,0.0,1,1035039,2023-08-12,0,cornet,,
łukasz fabiański,0,0,0.0,0,1035039,2023-08-12,0,fabiański,,
joseph anang,0,0,0.0,0,1035039,2023-08-12,0,anang,,
ben johnson,0,0,0.0,0,1035039,2023-08-12,0,johnson,,
angelo ogbonna,0,0,0.0,0,1035039,2023-08-12,0,ogbonna,,
conor coventry,0,0,0.0,0,1035039,2023-08-12,0,coventry,,
divin mubama,0,0,0.0,0,1035039,2023-08-12,0,mubama,,
jordan pickford,0,0,6.6,90,1035041,2023-08-12,0,pickford,,
nathan patterson,0,0,6.3,90,1035041,2023-08-12,0,patterson,,
michael keane,0,0,7.2,90,1035041,2023-08-12,1,keane,,
james tarkowski,0,0,6.9,90,1035041,2023-08-12,0,tarkowski,,
ashley young,0,0,6.7,90,1035041,2023-08-12,0,young,,
james garner,0,0,7.2,83,1035041,2023-08-12,1,garner,,
idrissa gueye,0,0,7.2,90,1035041,2023-08-12,1,gueye,,
amadou onana,0,0,7.6,90,1035041,2023-08-12,1,onana,20-08-2001,Leo
alex iwobi,0,0,7.7,90,1035041,2023-08-12,1,iwobi,,
abdoulaye doucouré,0,0,6.9,90,1035041,2023-08-12,0,doucouré,,
neal maupay,0,0,6.3,72,1035041,2023-08-12,0,maupay,,
arnaut danjuma,0,0,6.7,18,1035041,2023-08-12,0,danjuma,,
lewis dobbin,0,0,6.7,14,1035041,2023-08-12,0,dobbin,,
joão virgínia,0,0,0.0,0,1035041,2023-08-12,0,virgínia,,
ben godfrey,0,0,0.0,0,1035041,2023-08-12,0,godfrey,,
vitaliy mykolenko,0,0,0.0,0,1035041,2023-08-12,0,mykolenko,,
jarrad branthwaite,0,0,0.0,0,1035041,2023-08-12,0,branthwaite,,
tyler onyango,0,0,0.0,0,1035041,2023-08-12,0,onyango,,
andré gomes,0,0,0.0,0,1035041,2023-08-12,0,gomes,,
thomas cannon,0,0,0.0,0,1035041,2023-08-12,0,cannon,,
bernd leno,0,0,9.3,90,1035041,2023-08-12,1,leno,,
kenny tete,0,0,7.3,90,1035041,2023-08-12,1,tete,,
issa diop,0,0,7.5,90,1035041,2023-08-12,1,diop,,
tim ream,0,0,7.2,90,1035041,2023-08-12,1,ream,,
antonee robinson,0,0,7.2,90,1035041,2023-08-12,1,robinson,,
harrison reed,0,0,7.0,90,1035041,2023-08-12,1,reed,,
saša lukić,0,0,7.2,90,1035041,2023-08-12,1,lukić,,
tom cairney,0,0,6.7,58,1035041,2023-08-12,0,cairney,,
harry wilson,0,0,7.5,90,1035041,2023-08-12,1,wilson,,
raúl jiménez,0,0,6.6,58,1035041,2023-08-12,0,jiménez,,
willian,0,0,6.3,45,1035041,2023-08-12,0,willian,,
bobby decordova-reid,1,0,7.3,45,1035041,2023-08-12,1,decordova-reid,,
andreas pereira,0,0,6.9,32,1035041,2023-08-12,0,pereira,,
aleksandar mitrović,0,0,7.2,32,1035041,2023-08-12,1,mitrović,,
marek rodák,0,0,0.0,0,1035041,2023-08-12,0,rodák,,
calvin bassey,0,0,0.0,0,1035041,2023-08-12,0,bassey,,
kevin mbabu,0,0,0.0,0,1035041,2023-08-12,0,mbabu,,
matthew max dibley-dias,0,0,0.0,0,1035041,2023-08-12,0,dibley-dias,,
carlos vinícius,0,0,0.0,0,1035041,2023-08-12,0,vinícius,,
jay stansfield,0,0,0.0,0,1035041,2023-08-12,0,stansfield,,
jason steele,0,0,7.0,90,1035040,2023-08-12,1,steele,,
james milner,0,0,7.2,79,1035040,2023-08-12,1,milner,,
jan paul van hecke,0,0,7.2,90,1035040,2023-08-12,1,hecke,08-06-2000,Gemini
lewis dunk,0,0,6.7,90,1035040,2023-08-12,0,dunk,,
pervis estupiñán,0,1,8.5,90,1035040,2023-08-12,1,estupiñán,21-01-1998,Aquarius
pascal groß,0,0,8.2,90,1035040,2023-08-12,1,groß,,
mahmoud dahoud,0,0,7.0,74,1035040,2023-08-12,1,dahoud,,
solly march,1,0,7.3,74,1035040,2023-08-12,1,march,,
joão pedro,1,0,7.9,88,1035040,2023-08-12,1,pedro,26-09-2001,Libra
kaoru mitoma,0,1,8.2,90,1035040,2023-08-12,1,mitoma,20-05-1997,Taurus
danny welbeck,0,0,7.2,78,1035040,2023-08-12,1,welbeck,26-11-1990,Sagittarius
billy gilmour,0,0,6.6,16,1035040,2023-08-12,0,gilmour,,
simon adingra,1,0,7.3,16,1035040,2023-08-12,1,adingra,01-01-2002,Capricorn
evan ferguson,1,0,7.7,12,1035040,2023-08-12,1,ferguson,,
joël veltman,0,0,6.3,11,1035040,2023-08-12,0,veltman,,
julio enciso,0,0,6.5,10,1035040,2023-08-12,0,enciso,,
bart verbruggen,0,0,0.0,0,1035040,2023-08-12,0,verbruggen,18-08-2002,Leo
igor júlio,0,0,0.0,0,1035040,2023-08-12,0,júlio,,
steven alzate,0,0,0.0,0,1035040,2023-08-12,0,alzate,,
facundo buonanotte,0,0,0.0,0,1035040,2023-08-12,0,buonanotte,,
thomas kaminski,0,0,7.9,90,1035040,2023-08-12,1,kaminski,,
mads juel andersen,0,0,6.3,76,1035040,2023-08-12,0,andersen,,
tom lockyer,0,0,6.3,90,1035040,2023-08-12,0,lockyer,,
amari'i bell,0,0,6.2,90,1035040,2023-08-12,0,bell,,
issa kaboré,0,0,6.9,64,1035040,2023-08-12,0,kaboré,,
pelly ruddock mpanzu,0,0,5.9,88,1035040,2023-08-12,0,mpanzu,,
marvelous nakamba,0,0,6.3,90,1035040,2023-08-12,0,nakamba,,
tahith chong,0,0,6.2,88,1035040,2023-08-12,0,chong,,
ryan giles,0,0,6.6,90,1035040,2023-08-12,0,giles,,
carlton morris,1,0,7.9,90,1035040,2023-08-12,1,morris,,
elijah adebayo,0,0,6.5,64,1035040,2023-08-12,0,adebayo,,
alfie doughty,0,0,6.3,26,1035040,2023-08-12,0,doughty,,
jacob brown,0,0,6.9,26,1035040,2023-08-12,0,brown,,
chiedozie ogbene,0,0,6.7,14,1035040,2023-08-12,0,ogbene,,
luke berry,0,0,6.5,10,1035040,2023-08-12,0,berry,,
cauley woodrow,0,0,7.0,10,1035040,2023-08-12,1,woodrow,,
james shea,0,0,0.0,0,1035040,2023-08-12,0,shea,,
aidan francis-clarke,0,0,0.0,0,1035040,2023-08-12,0,francis-clarke,,
allan campbell,0,0,0.0,0,1035040,2023-08-12,0,campbell,,
john mcatee,0,0,0.0,0,1035040,2023-08-12,0,mcatee,,
wes foderingham,0,0,8.0,90,1035042,2023-08-12,1,foderingham,,
anel ahmedhodžić,0,0,6.9,90,1035042,2023-08-12,0,ahmedhodžić,,
john egan,0,0,6.9,90,1035042,2023-08-12,0,egan,,
jack robinson,0,0,6.6,80,1035042,2023-08-12,0,robinson,,
george baldock,0,0,6.7,90,1035042,2023-08-12,0,baldock,,
chris basham,0,0,6.6,80,1035042,2023-08-12,0,basham,,
oliver norwood,0,0,7.2,90,1035042,2023-08-12,1,norwood,,
ben osborn,0,0,6.7,87,1035042,2023-08-12,0,osborn,,
max lowe,0,0,7.2,80,1035042,2023-08-12,1,lowe,,
benie traore,0,0,6.2,87,1035042,2023-08-12,0,traore,,
william osula,0,0,6.2,90,1035042,2023-08-12,0,osula,,
yasser larouci,0,0,6.9,10,1035042,2023-08-12,0,larouci,,
anis ben slimane,0,0,6.5,10,1035042,2023-08-12,0,slimane,,
vinícius souza,0,0,6.7,10,1035042,2023-08-12,0,souza,,
andre brooks,0,0,6.7,9,1035042,2023-08-12,0,brooks,08-07-1997,Cancer
antwoine hackford,0,0,6.3,9,1035042,2023-08-12,0,hackford,,
adam davies,0,0,0.0,0,1035042,2023-08-12,0,davies,,
auston trusty,0,0,0.0,0,1035042,2023-08-12,0,trusty,,
femi seriki,0,0,0.0,0,1035042,2023-08-12,0,seriki,,
louie marsh,0,0,0.0,0,1035042,2023-08-12,0,marsh,,
sam johnstone,0,0,7.2,90,1035042,2023-08-12,1,johnstone,,
joel ward,0,0,6.9,90,1035042,2023-08-12,0,ward,,
joachim andersen,0,0,8.7,90,1035042,2023-08-12,1,andersen,,
marc guéhi,0,0,7.7,89,1035042,2023-08-12,1,guéhi,13-07-2000,Cancer
tyrick mitchell,0,0,7.2,90,1035042,2023-08-12,1,mitchell,,
jefferson lerma,0,0,7.6,90,1035042,2023-08-12,1,lerma,,
cheick doucouré,0,0,6.9,90,1035042,2023-08-12,0,doucouré,,
jordan ayew,0,1,7.3,90,1035042,2023-08-12,1,ayew,,
eberechi eze,0,0,8.5,90,1035042,2023-08-12,1,eze,29-06-1998,Cancer
jeffrey schlupp,0,0,7.2,90,1035042,2023-08-12,1,schlupp,,
odsonne édouard,1,0,8.0,90,1035042,2023-08-12,1,édouard,,
james tomkins,0,0,0.0,1,1035042,2023-08-12,0,tomkins,,
remi matthews,0,0,0.0,0,1035042,2023-08-12,0,matthews,,
nathaniel clyne,0,0,0.0,0,1035042,2023-08-12,0,clyne,,
chris richards,0,0,0.0,0,1035042,2023-08-12,0,richards,,
jaïro riedewald,0,0,0.0,0,1035042,2023-08-12,0,riedewald,,
naouirou ahamada,0,0,0.0,0,1035042,2023-08-12,0,ahamada,,
john-kymani gordon,0,0,0.0,0,1035042,2023-08-12,0,gordon,24-02-2001,Pisces
jesurun rak-sakyi,0,0,0.0,0,1035042,2023-08-12,0,rak-sakyi,,
jean-philippe mateta,0,0,0.0,0,1035042,2023-08-12,0,mateta,,
nick pope,0,0,7.2,90,1035043,2023-08-12,1,pope,19-04-1992,Aries
kieran trippier,0,0,7.7,90,1035043,2023-08-12,1,trippier,19-09-1990,Virgo
fabian schär,0,0,6.9,90,1035043,2023-08-12,0,schär,20-12-1991,Sagittarius
sven botman,0,1,7.5,90,1035043,2023-08-12,1,botman,,
dan burn,0,0,7.0,90,1035043,2023-08-12,1,burn,09-05-1992,Taurus
sandro tonali,1,0,7.3,89,1035043,2023-08-12,1,tonali,08-05-2000,Taurus
bruno guimarães,0,0,6.6,85,1035043,2023-08-12,0,guimarães,16-11-1997,Scorpio
joelinton,0,0,7.0,90,1035043,2023-08-12,1,joelinton,14-08-1996,Leo
miguel almirón,0,0,7.5,86,1035043,2023-08-12,1,almirón,,
alexander isak,2,0,8.0,68,1035043,2023-08-12,1,isak,21-09-1999,Virgo
anthony gordon,0,1,7.6,68,1035043,2023-08-12,1,gordon,24-02-2001,Pisces
harvey barnes,1,1,8.3,22,1035043,2023-08-12,1,barnes,09-12-1997,Sagittarius
callum wilson,1,0,7.3,22,1035043,2023-08-12,1,wilson,,
sean longstaff,0,0,6.3,12,1035043,2023-08-12,0,longstaff,,
jacob murphy,0,1,7.9,11,1035043,2023-08-12,1,murphy,24-02-1995,Pisces
elliot anderson,0,0,0.0,1,1035043,2023-08-12,0,anderson,06-11-2002,Scorpio
martin dúbravka,0,0,0.0,0,1035043,2023-08-12,0,dúbravka,,
valentino livramento,0,0,0.0,0,1035043,2023-08-12,0,livramento,12-11-2002,Scorpio
jamaal lascelles,0,0,0.0,0,1035043,2023-08-12,0,lascelles,,
matt targett,0,0,0.0,0,1035043,2023-08-12,0,targett,,
emiliano martínez,0,0,7.7,90,1035043,2023-08-12,1,martínez,02-09-1992,Virgo
matty cash,0,0,6.2,87,1035043,2023-08-12,0,cash,07-08-1997,Leo
ezri konsa,0,0,6.0,90,1035043,2023-08-12,0,konsa,23-10-1997,Scorpio
tyrone mings,0,0,6.7,31,1035043,2023-08-12,0,mings,,
lucas digne,0,0,6.3,90,1035043,2023-08-12,0,digne,20-07-1993,Cancer
boubacar kamara,0,0,6.3,90,1035043,2023-08-12,0,kamara,23-11-1999,Sagittarius
douglas luiz,0,0,7.2,90,1035043,2023-08-12,1,luiz,,
leon bailey,0,0,6.3,45,1035043,2023-08-12,0,bailey,09-08-1997,Leo
moussa diaby,1,0,7.2,87,1035043,2023-08-12,1,diaby,,
john mcginn,0,0,6.2,64,1035043,2023-08-12,0,mcginn,18-10-1994,Libra
ollie watkins,0,1,7.9,90,1035043,2023-08-12,1,watkins,30-12-1995,Capricorn
pau torres,0,0,6.7,59,1035043,2023-08-12,0,torres,16-01-1997,Capricorn
youri tielemans,0,0,6.5,45,1035043,2023-08-12,0,tielemans,07-05-1997,Taurus
diego carlos,0,0,6.9,26,1035043,2023-08-12,0,carlos,,
philippe coutinho,0,0,6.6,10,1035043,2023-08-12,0,coutinho,,
jaden philogene-bidace,0,0,6.5,10,1035043,2023-08-12,0,philogene-bidace,,
robin olsen,0,0,0.0,0,1035043,2023-08-12,0,olsen,,
calum chambers,0,0,0.0,0,1035043,2023-08-12,0,chambers,,
cameron archer,0,0,0.0,0,1035043,2023-08-12,0,archer,,
omari kellyman,0,0,0.0,0,1035043,2023-08-12,0,kellyman,,
mark flekken,0,0,7.2,90,1035044,2023-08-13,1,flekken,13-06-1993,Gemini
aaron hickey,0,0,6.6,72,1035044,2023-08-13,0,hickey,,
nathan collins,0,0,6.9,90,1035044,2023-08-13,0,collins,30-04-2001,Taurus
ethan pinnock,0,0,6.9,90,1035044,2023-08-13,0,pinnock,29-05-1993,Gemini
kristoffer ajer,0,0,6.3,84,1035044,2023-08-13,0,ajer,,
rico henry,0,1,7.5,90,1035044,2023-08-13,1,henry,,
mathias jensen,0,0,6.7,49,1035044,2023-08-13,0,jensen,,
christian nørgaard,0,0,6.2,72,1035044,2023-08-13,0,nørgaard,10-03-1994,Pisces
vitaly janelt,0,0,6.6,90,1035044,2023-08-13,0,janelt,10-05-1998,Taurus
bryan mbeumo,1,0,6.6,90,1035044,2023-08-13,1,mbeumo,07-08-1999,Leo
yoane wissa,1,0,7.9,72,1035044,2023-08-13,1,wissa,03-09-1996,Virgo
mikkel damsgaard,0,0,6.9,41,1035044,2023-08-13,0,damsgaard,03-07-2000,Cancer
mads roerslev,0,0,6.3,18,1035044,2023-08-13,0,roerslev,,
shandon baptiste,0,0,6.7,18,1035044,2023-08-13,0,baptiste,,
kevin schade,0,0,6.3,18,1035044,2023-08-13,0,schade,27-11-2001,Sagittarius
zanka,0,0,7.5,11,1035044,2023-08-13,1,zanka,,
thomas strakosha,0,0,0.0,0,1035044,2023-08-13,0,strakosha,,
joshua dasilva,0,0,0.0,0,1035044,2023-08-13,0,dasilva,,
yehor yarmoliuk,0,0,0.0,0,1035044,2023-08-13,0,yarmoliuk,,
keane lewis-potter,0,0,0.0,0,1035044,2023-08-13,0,lewis-potter,22-02-2001,Pisces
guglielmo vicario,0,0,7.2,90,1035044,2023-08-13,1,vicario,07-10-1996,Libra
emerson royal,1,0,7.7,90,1035044,2023-08-13,1,royal,,
cristian romero,1,0,7.3,14,1035044,2023-08-13,1,romero,27-04-1998,Taurus
micky van de ven,0,0,7.2,90,1035044,2023-08-13,1,ven,,
destiny udogie,0,0,7.3,90,1035044,2023-08-13,1,udogie,28-11-2002,Sagittarius
oliver skipp,0,0,6.3,75,1035044,2023-08-13,0,skipp,,
yves bissouma,0,0,8.0,90,1035044,2023-08-13,1,bissouma,30-08-1996,Virgo
dejan kulusevski,0,0,7.2,90,1035044,2023-08-13,1,kulusevski,,
james maddison,0,2,8.3,90,1035044,2023-08-13,1,maddison,,
heung-min son,0,0,6.6,75,1035044,2023-08-13,0,son,,
richarlison,0,0,6.7,90,1035044,2023-08-13,0,richarlison,,
davinson sánchez,0,0,7.0,76,1035044,2023-08-13,1,sánchez,18-11-1997,Scorpio
ivan perišić,0,0,7.2,15,1035044,2023-08-13,1,perišić,,
pape matar sarr,0,0,7.2,15,1035044,2023-08-13,1,sarr,14-09-2002,Virgo
brandon austin,0,0,0.0,0,1035044,2023-08-13,0,austin,,
ben davies,0,0,0.0,0,1035044,2023-08-13,0,davies,,
pedro porro,0,0,0.0,0,1035044,2023-08-13,0,porro,,
pierre-emile højbjerg,0,0,0.0,0,1035044,2023-08-13,0,højbjerg,,
giovani lo celso,0,0,0.0,0,1035044,2023-08-13,0,celso,,
manor solomon,0,0,0.0,0,1035044,2023-08-13,0,solomon,,
robert sánchez,0,0,6.9,90,1035045,2023-08-13,0,sánchez,18-11-1997,Scorpio
axel disasi,1,0,7.7,90,1035045,2023-08-13,1,disasi,,
thiago silva,0,0,7.3,90,1035045,2023-08-13,1,silva,10-08-1994,Leo
levi colwill,0,0,7.2,90,1035045,2023-08-13,1,colwill,,
reece james,0,0,7.5,76,1035045,2023-08-13,1,james,08-12-1999,Sagittarius
enzo fernández,0,0,8.2,90,1035045,2023-08-13,1,fernández,17-01-2001,Capricorn
conor gallagher,0,0,7.2,90,1035045,2023-08-13,1,gallagher,06-02-2000,Aquarius
ben chilwell,0,1,7.5,89,1035045,2023-08-13,1,chilwell,,
raheem sterling,0,0,6.6,81,1035045,2023-08-13,0,sterling,,
carney chukwuemeka,0,0,6.3,81,1035045,2023-08-13,0,chukwuemeka,,
nicolas jackson,0,0,6.2,90,1035045,2023-08-13,0,jackson,20-06-2001,Gemini
malo gusto,0,0,6.6,14,1035045,2023-08-13,0,gusto,19-05-2003,Taurus
ian maatsen,0,0,6.9,9,1035045,2023-08-13,0,maatsen,10-03-2002,Pisces
mykhaylo mudryk,0,0,6.9,9,1035045,2023-08-13,0,mudryk,,
lesley ugochukwu,0,0,0.0,1,1035045,2023-08-13,0,ugochukwu,,
lucas bergström,0,0,0.0,0,1035045,2023-08-13,0,bergström,,
marc cucurella,0,0,0.0,0,1035045,2023-08-13,0,cucurella,22-07-1998,Cancer
andrey santos,0,0,0.0,0,1035045,2023-08-13,0,santos,,
mason burstow,0,0,0.0,0,1035045,2023-08-13,0,burstow,,
noni madueke,0,0,0.0,0,1035045,2023-08-13,0,madueke,10-03-2002,Pisces
alisson,0,0,7.3,90,1035045,2023-08-13,1,alisson,,
trent alexander-arnold,0,0,6.3,90,1035045,2023-08-13,0,alexander-arnold,07-10-1998,Libra
ibrahima konaté,0,0,7.0,90,1035045,2023-08-13,1,konaté,25-05-1999,Gemini
virgil van dijk,0,0,7.2,90,1035045,2023-08-13,1,dijk,08-07-1991,Cancer
andrew robertson,0,0,7.2,90,1035045,2023-08-13,1,robertson,,
dominik szoboszlai,0,0,7.0,90,1035045,2023-08-13,1,szoboszlai,25-10-2000,Scorpio
alexis mac allister,0,0,7.5,90,1035045,2023-08-13,1,allister,24-12-1998,Capricorn
cody gakpo,0,0,6.6,66,1035045,2023-08-13,0,gakpo,07-05-1999,Taurus
mohamed salah,0,1,7.5,77,1035045,2023-08-13,1,salah,15-06-1992,Gemini
diogo jota,0,0,6.9,66,1035045,2023-08-13,0,jota,04-12-1996,Sagittarius
luis díaz,1,0,7.2,77,1035045,2023-08-13,1,díaz,13-01-1997,Capricorn
curtis jones,0,0,6.6,24,1035045,2023-08-13,0,jones,,
darwin núñez,0,0,6.7,24,1035045,2023-08-13,0,núñez,24-06-1999,Cancer
harvey elliott,0,0,7.0,13,1035045,2023-08-13,1,elliott,,
ben doak,0,0,6.3,13,1035045,2023-08-13,0,doak,,
